SCHOOL,NUMBER OF CANDIDATES,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,TOTAL PASSED CANDIDATES,GPA
s1498,156,156,,,,,,156,2.6806
s1499,,,,,,,,,
s1500,,,,,,,,,
s1501,,,,,,,,,
s1502,,,,,,,,,
s1503,,,,,,,,,
s1504,,,,,,,,,
s1505,,,,,,,,,
s1506,,,,,,,,,
s1507,113,113,,,,,,113,2.5088
s1508,,,,,,,,,
s1509,52,52,,,,,,52,1.9359
s1510,,,,,,,,,
s1511,,,,,,,,,
s1512,,,,,,,,,
s1513,,,,,,,,,
s1514,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s1515,,,,,,,,,
s1516,,,,,,,,,
s1517,,,,,,,,,
s1518,,,,,,,,,
s1519,18,18,PRIVATE,BOYS AND GIRLS,DAY,MIXED,COMBINED OA,18,3.1481
s1520,,,,,,,,,
s1521,,,,,,,,,
s1522,105,103,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,103,2.8382
s1523,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,,
s1524,,,,,,,,,
s1525,,,,,,,,,
s1526,,,,,,,,,
s1527,,,,,,,,,
s1528,,,,,,,,,
s1529,,,,,,,,,
s1530,,,,,,,,,
s1531,71,71,,,,,,71,2.5047
s1532,,,,,,,,,
s1533,,,,,,,,,
s1534,,,,,,,,,
s1535,122,121,,,,,,121,2.5399
s1536,,,,,,,,,
s1537,,,,,,,,,
s1538,,,,,,,,,
s1539,,,,,,,,,
s1540,,,,,,,,,
s1541,,,,,,,,,
s1542,,,,,,,,,
s1543,,,,,,,,,
s1544,,,,,,,,,
s1545,,,,,,,,,
s1546,,,,,,,,,
s1547,,,,,,,,,
s1548,,,,,,,,,
s1549,76,74,,,,,,74,2.6441
s1550,,,,,,,,,
s1551,,,,,,,,,
s1552,142,142,,,,,,142,2.8192
s1553,,,,,,,,,
s1554,,,,,,,,,
s1555,,,,,,,,,
s1556,,,,,,,,,
s1557,,,,,,,,,
s1558,,,,,,,,,
s1559,,,,,,,,,
s1560,,,,,,,,,
s1561,,,,,,,,,
s1562,,,,,,,,,
s1563,,,,,,,,,
s1564,,,,,,,,,
s1565,,,,,,,,,
s1566,,,,,,,,,
s1567,,,,,,,,,
s1568,,,,,,,,,
s1569,,,,,,,,,
s1570,,,,,,,,,
s1571,,,,,,,,,
s1572,,,,,,,,,
s1573,50,50,,,,,,50,1.8200
s1574,,,,,,,,,
s1575,,,,,,,,,
s1576,,,,,,,,,
s1577,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s1578,129,129,,,,,,129,2.4186
s1579,,,,,,,,,
s1580,,,,,,,,,
s1581,,,,,,,,,
s1582,,,PRIVATE,BOYS AND GIRLS,DAY,,,,
s1583,,,,,,,,,
s1584,291,290,,,,,,290,2.5632
s1585,,,,,,,,,
s1586,,,,,,,,,
s1587,,,,,,,,,
s1588,,,,,,,,,
s1589,,,,,,,,,
s1590,,,,,,,,,
s1591,,,PRIVATE,BOYS AND GIRLS,DAY,,,,
s1592,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s1593,16,16,,,,,,16,2.6979
s1594,,,,,,,,,
s1595,,,,,,,,,
s1596,165,165,,,,,,165,2.5475
s1597,,,,,,,,,
s1598,375,369,,,,,,368,2.8582
s1599,384,382,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,382,2.4538
s1600,53,53,,,,,,53,2.8679
s1601,,,PRIVATE,BOYS ONLY,BOARDING,,,,
s1602,,,,,,,,,
s1603,,,,,,,,,
s1604,23,23,PRIVATE,BOYS ONLY,,SCIENCE,COMBINED OA,23,2.2464
s1605,,,,,,,,,
s1606,,,,,,,,,
s1607,,,,,,,,,
s1608,107,106,,,,,,97,2.8213
s1609,16,15,,,,,,15,2.5111
s1610,117,115,,,,,,115,2.3391
s1611,194,193,,,,,,192,3.4344
s1612,,,,,,,,,
s1613,,,,,,,,,
s1614,,,,,,,,,
s1615,,,,,,,,,
s1616,,,,,,,,,
s1617,,,,,,,,,
s1618,,,,,,,,,
s1619,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s1620,,,,,,,,,
s1621,,,,,,,,,
s1622,,,,,,,,,
s1623,10,9,,,,,,9,3.1852
s1624,,,,,,,,,
s1625,,,,,,,,,
s1626,8,7,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,-,--
s1627,,,,,,,,,
s1628,53,53,,,,,,53,3.0818
s1629,,,,,,,,,
s1630,,,,,,,,,
s1631,,,,,,,,,
s1632,,,,,,,,,
s1633,,,,,,,,,
s1634,,,,,,,,,
s1635,,,,,,,,,
s1636,,,,,,,,,
s1637,85,83,,,,,,83,2.8052
s1638,,,,,,,,,
s1639,,,,,,,,,
s1640,,,,,,,,,
s1641,,,,,,,,,
s1642,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s1643,,,,,,,,,
s1644,,,,,,,,,
s1645,17,17,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,17,2.6863
s1646,,,,,,,,,
s1647,,,,,,,,,
s1648,110,110,,,,,,110,2.2788
s1649,,,,,,,,,
s1650,,,,,,,,,
s1651,,,,,,,,,
s1652,,,,,,,,,
s1653,,,,,,,,,
s1654,,,,,,,,,
s1655,,,,,,,,,
s1656,,,,,,,,,
s1657,,,,,,,,,
s1658,,,,,,,,,
s1659,113,113,,,,,,113,2.4882
s1660,,,,,,,,,
s1661,113,113,,,,,,113,3.5133
s1662,60,60,,,,,,60,2.3194
s1663,,,,,,,,,
s1664,,,,,,,,,
s1665,,,PRIVATE,BOYS AND GIRLS,,MIXED,COMBINED OA,,
s1666,,,,,,,,,
s1667,,,,,,,,,
s1668,116,116,,,,,,116,2.3434
s1669,,,,,,,,,
s1670,,,,,,,,,
s1671,,,,,,,,,
s1672,,,,,,,,,
s1673,,,,,,,,,
s1674,,,,,,,,,
s1675,,,,,,,,,
s1676,,,,,,,,,
s1677,,,,,,,,,
s1678,,,,,,,,,
s1679,,,,,,,,,
s1680,,,,,,,,,
s1681,,,,,,,,,
s1682,,,,,,,,,
s1683,,,,,,,,,
s1684,,,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,,
s1685,,,,,,,,,
s1686,,,,,,,,,
s1687,,,,,,,,,
s1688,,,,,,,,,
s1689,,,,,,,,,
s1690,,,,,,,,,
s1691,,,,,,,,,
s1692,,,,,,,,,
s1693,,,,,,,,,
s1694,,,,,,,,,
s1695,,,,,,,,,
s1696,,,,,,,,,
s1697,,,,,,,,,
s1698,,,,,,,,,
s1699,,,,,,,,,
s1700,,,,,,,,,
s1701,,,,,,,,,
s1702,,,,,,,,,
s1703,,,,,,,,,
s1704,,,,,,,,,
s1705,,,,,,,,,
s1706,,,,,,,,,
s1707,,,,,,,,,
s1708,,,,,,,,,
s1709,,,,,,,,,
s1710,,,,,,,,,
s1711,,,,,,,,,
s1712,,,,,,,,,
s1713,,,,,,,,,
s1714,,,,,,,,,
s1715,,,,,,,,,
s1716,,,,,,,,,
s1717,,,,,,,,,
s1718,116,116,,,,,,116,2.6753
s1719,100,100,,,,,,100,2.9050
s1720,,,,,,,,,
s1721,,,,,,,,,
s1722,254,250,,,,,,249,3.1060
s1723,,,,,,,,,
s1724,,,,,,,,,
s1725,,,,,,,,,
s1726,,,,,,,,,
s1727,,,,,,,,,
s1728,,,,,,,,,
s1729,,,,,,,,,
s1730,,,,,,,,,
s1731,,,,,,,,,
s1732,62,61,,,,,,61,3.1858
s1733,,,,,,,,,
s1734,,,,,,,,,
s1735,,,,,,,,,
s1736,,,,,,,,,
s1737,,,,,,,,,
s1738,,,,,,,,,
s1739,,,,,,,,,
s1740,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s1741,,,,,,,,,
s1742,,,,,,,,,
s1743,,,,,,,,,
s1744,,,,,,,,,
s1745,,,,,,,,,
s1746,,,,,,,,,
s1747,,,,,,,,,
s1748,,,,,,,,,
s1749,,,,,,,,,
s1750,,,,,,,,,
s1751,,,,,,,,,
s1752,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s1753,,,,,,,,,
s1754,,,,,,,,,
s1755,,,,,,,,,
s1756,,,,,,,,,
s1757,114,113,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,113,2.5310
s1758,,,,,,,,,
s1759,,,,,,,,,
s1760,,,,,,,,,
s1761,,,,,,,,,
s1762,,,,,,,,,
s1763,,,,,,,,,
s1764,,,,,,,,,
s1765,,,,,,,,,
s1766,,,,,,,,,
s1767,,,,,,,,,
s1768,,,,,,,,,
s1769,65,65,,,,,,65,3.1949
s1770,37,37,,,,,,37,3.1847
s1771,,,,,,,,,
s1772,,,,,,,,,
s1773,,,,,,,,,
s1774,,,,,,,,,
s1775,,,,,,,,,
s1776,,,,,,,,,
s1777,,,,,,,,,
s1778,,,,,,,,,
s1779,,,,,,,,,
s1780,,,,,,,,,
s1781,,,,,,,,,
s1782,,,,,,,,,
s1783,,,,,,,,,
s1784,,,,,,,,,
s1785,,,,,,,,,
s1786,,,,,,,,,
s1787,,,,,,,,,
s1788,,,,,,,,,
s1789,,,,,,,,,
s1790,,,,,,,,,
s1791,,,,,,,,,
s1792,,,PRIVATE,BOYS ONLY,DAY AND BOARDING,,,,
s1793,,,,,,,,,
s1794,,,,,,,,,
s1795,,,,,,,,,
s1796,,,,,,,,,
s1797,,,,,,,,,
s1798,,,,,,,,,
s1799,,,,,,,,,
s1800,165,165,,,,,,165,2.8525
s1801,,,,,,,,,
s1802,,,,,,,,,
s1803,,,,,,,,,
s1804,,,,,,,,,
s1805,,,,,,,,,
s1806,,,,,,,,,
s1807,,,,,,,,,
s1808,,,,,,,,,
s1809,,,,,,,,,
s1810,,,,,,,,,
s1811,,,,,,,,,
s1812,,,,,,,,,
s1813,,,,,,,,,
s1814,,,,,,,,,
s1815,,,,,,,,,
s1816,,,,,,,,,
s1817,,,,,,,,,
s1818,,,,,,,,,
s1819,,,,,,,,,
s1820,,,,,,,,,
s1821,32,32,,,,,,32,2.2969
s1822,32,32,,,,,,32,2.4323
s1823,,,,,,,,,
s1824,,,,,,,,,
s1825,,,,,,,,,
s1826,,,,,,,,,
s1827,,,,,,,,,
s1828,,,,,,,,,
s1829,,,,,,,,,
s1830,,,,,,,,,
s1831,,,,,,,,,
s1832,,,,,,,,,
s1833,,,,,,,,,
s1834,,,,,,,,,
s1835,,,,,,,,,
s1836,,,,,,,,,
s1837,,,,,,,,,
s1838,,,,,,,,,
s1839,,,,,,,,,
s1840,,,,,,,,,
s1841,,,,,,,,,
s1842,,,,,,,,,
s1843,,,,,,,,,
s1844,,,,,,,,,
s1845,,,,,,,,,
s1846,,,,,,,,,
s1847,,,,,,,,,
s1848,,,,,,,,,
s1849,,,,,,,,,
s1850,,,,,,,,,
s1851,,,,,,,,,
s1852,,,,,,,,,
s1853,,,,,,,,,
s1854,,,,,,,,,
s1855,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s1856,,,,,,,,,
s1857,,,,,,,,,
s1858,,,,,,,,,
s1859,,,,,,,,,
s1860,,,,,,,,,
s1861,,,,,,,,,
s1862,,,,,,,,,
s1863,,,,,,,,,
s1864,,,,,,,,,
s1865,91,90,,,,,,90,2.5870
s1866,,,,,,,,,
s1867,,,,,,,,,
s1868,,,,,,,,,
s1869,,,,,,,,,
s1870,,,,,,,,,
s1871,,,,,,,,,
s1872,,,,,,,,,
s1873,,,,,,,,,
s1874,,,,,,,,,
s1875,,,,,,,,,
s1876,,,,,,,,,
s1877,,,,,,,,,
s1878,,,,,,,,,
s1879,,,,,,,,,
s1880,,,,,,,,,
s1881,,,,,,,,,
s1882,,,,,,,,,
s1883,,,,,,,,,
s1884,83,83,,,,,,83,2.1365
s1885,,,,,,,,,
s1886,,,,,,,,,
s1887,,,,,,,,,
s1888,123,123,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,123,1.9621
s1889,,,,,,,,,
s1890,,,,,,,,,
s1891,,,,,,,,,
s1892,,,,,,,,,
s1893,,,,,,,,,
s1894,,,,,,,,,
s1895,,,,,,,,,
s1896,,,,,,,,,
s1897,,,,,,,,,
s1898,,,,,,,,,
s1899,,,,,,,,,
s1900,,,,,,,,,
s1901,,,,,,,,,
s1902,,,,,,,,,
s1903,,,,,,,,,
s1904,,,,,,,,,
s1905,,,,,,,,,
s1906,,,,,,,,,
s1907,,,,,,,,,
s1908,,,,,,,,,
s1909,,,,,,,,,
s1910,,,,,,,,,
s1911,,,,,,,,,
s1912,,,,,,,,,
s1913,49,49,,,,,,49,2.8980
s1914,,,,,,,,,
s1915,,,,,,,,,
s1916,,,,,,,,,
s1917,,,,,,,,,
s1918,,,,,,,,,
s1919,,,,,,,,,
s1920,,,,,,,,,
s1921,,,,,,,,,
s1922,,,,,,,,,
s1923,,,,,,,,,
s1924,,,,,,,,,
s1925,,,,,,,,,
s1926,,,,,,,,,
s1927,,,,,,,,,
s1928,,,,,,,,,
s1929,,,,,,,,,
s1930,,,,,,,,,
s1931,,,,,,,,,
s1932,,,,,,,,,
s1933,,,,,,,,,
s1934,,,,,,,,,
s1935,,,,,,,,,
s1936,53,52,,,,,,52,2.3301
s1937,,,,,,,,,
s1938,,,,,,,,,
s1939,234,231,,,,,,231,2.7994
s1940,,,,,,,,,
s1941,,,,,,,,,
s1942,,,,,,,,,
s1943,,,,,,,,,
s1944,,,,,,,,,
s1945,,,,,,,,,
s1946,,,,,,,,,
s1947,,,,,,,,,
s1948,,,,,,,,,
s1949,,,,,,,,,
s1950,,,,,,,,,
s1951,,,,,,,,,
s1952,,,,,,,,,
s1953,,,,,,,,,
s1954,,,,,,,,,
s1955,,,,,,,,,
s1956,,,,,,,,,
s1957,,,,,,,,,
s1958,,,,,,,,,
s1959,,,,,,,,,
s1960,,,,,,,,,
s1961,,,,,,,,,
s1962,,,,,,,,,
s1963,,,,,,,,,
s1964,,,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,,,,
s1965,,,,,,,,,
s1966,,,,,,,,,
s1967,,,,,,,,,
s1968,,,,,,,,,
s1969,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s1970,,,,,,,,,
s1971,,,,,,,,,
s1972,,,,,,,,,
s1973,,,,,,,,,
s1974,,,,,,,,,
s1975,,,,,,,,,
s1976,,,,,,,,,
s1977,,,,,,,,,
s1978,,,,,,,,,
s1979,,,,,,,,,
s1980,,,,,,,,,
s1981,,,,,,,,,
s1982,,,,,,,,,
s1983,,,,,,,,,
s1984,,,,,,,,,
s1985,,,,,,,,,
s1986,,,,,,,,,
s1987,,,,,,,,,
s1988,,,,,,,,,
s1989,,,,,,,,,
s1990,,,,,,,,,
s1991,,,,,,,,,
s1992,,,,,,,,,
s1993,,,,,,,,,
s1994,,,,,,,,,
s1995,,,,,,,,,
s1996,,,,,,,,,
s1997,,,,,,,,,
s1998,,,PRIVATE,BOYS ONLY,BOARDING,,,,
s1999,,,,,,,,,
s2000,,,,,,,,,
s2001,,,,,,,,,
s2002,,,,,,,,,
s2003,,,,,,,,,
s2004,,,,,,,,,
s2005,,,,,,,,,
s2006,77,77,,,,,,77,2.1190
s2007,,,,,,,,,
s2008,,,,,,,,,
s2009,,,,,,,,,
s2010,10,10,PRIVATE,BOYS AND GIRLS,,MIXED,COMBINED OA,10,3.5167
s2011,,,,,,,,,
s2012,,,,,,,,,
s2013,,,,,,,,,
s2014,,,,,,,,,
s2015,,,,,,,,,
s2016,,,,,,,,,
s2017,,,,,,,,,
s2018,,,,,,,,,
s2019,,,,,,,,,
s2020,,,,,,,,,
s2021,,,,,,,,,
s2022,,,,,,,,,
s2023,,,,,,,,,
s2024,,,,,,,,,
s2025,,,PRIVATE,GIRLS ONLY,BOARDING,,,,
s2026,,,,,,,,,
s2027,,,,,,,,,
s2028,,,,,,,,,
s2029,,,,,,,,,
s2030,,,,,,,,,
s2031,,,,,,,,,
s2032,,,,,,,,,
s2033,,,,,,,,,
s2034,,,,,,,,,
s2035,,,,,,,,,
s2036,,,,,,,,,
s2037,,,,,,,,,
s2038,,,,,,,,,
s2039,,,,,,,,,
s2040,,,,,,,,,
s2041,,,,,,,,,
s2042,,,,,,,,,
s2043,,,,,,,,,
s2044,61,52,,,,,,52,2.0769
s2045,,,,,,,,,
s2046,,,,,,,,,
s2047,,,,,,,,,
s2048,,,,,,,,,
s2049,,,,,,,,,
s2050,,,,,,,,,
s2051,,,,,,,,,
s2052,,,,,,,,,
s2053,,,,,,,,,
s2054,,,,,,,,,
s2055,,,,,,,,,
s2056,,,,,,,,,
s2057,,,,,,,,,
s2058,,,,,,,,,
s2059,,,,,,,,,
s2060,,,,,,,,,
s2061,,,,,,,,,
s2062,,,,,,,,,
s2063,,,,,,,,,
s2064,,,,,,,,,
s2065,,,,,,,,,
s2066,,,,,,,,,
s2067,72,72,,,,,,72,2.8380
s2068,,,,,,,,,
s2069,,,,,,,,,
s2070,,,,,,,,,
s2071,,,,,,,,,
s2072,,,,,,,,,
s2073,102,102,,,,,,102,2.9134
s2074,,,,,,,,,
s2075,,,,,,,,,
s2076,,,,,,,,,
s2077,,,,,,,,,
s2078,,,,,,,,,
s2079,,,,,,,,,
s2080,,,,,,,,,
s2081,,,,,,,,,
s2082,,,,,,,,,
s2083,,,,,,,,,
s2084,,,,,,,,,
s2085,,,,,,,,,
s2086,,,,,,,,,
s2087,,,,,,,,,
s2088,,,,,,,,,
s2089,,,,,,,,,
s2090,,,,,,,,,
s2091,,,,,,,,,
s2092,,,,,,,,,
s2093,,,,,,,,,
s2094,,,,,,,,,
s2095,,,,,,,,,
s2096,,,,,,,,,
s2097,,,,,,,,,
s2098,,,,,,,,,
s2099,,,,,,,,,
s2100,,,,,,,,,
s2101,,,,,,,,,
s2102,,,,,,,,,
s2103,,,,,,,,,
s2104,,,,,,,,,
s2105,39,39,,,,,,39,2.4231
s2106,,,,,,,,,
s2107,,,,,,,,,
s2108,,,,,,,,,
s2109,,,,,,,,,
s2110,,,,,,,,,
s2111,,,,,,,,,
s2112,,,,,,,,,
s2113,,,,,,,,,
s2114,,,,,,,,,
s2115,,,,,,,,,
s2116,,,,,,,,,
s2117,,,,,,,,,
s2118,,,,,,,,,
s2119,23,23,,,,,,23,3.2899
s2120,,,,,,,,,
s2121,,,,,,,,,
s2122,,,,,,,,,
s2123,,,,,,,,,
s2124,,,,,,,,,
s2125,,,,,,,,,
s2126,,,,,,,,,
s2127,,,,,,,,,
s2128,,,,,,,,,
s2129,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s2130,,,,,,,,,
s2131,,,,,,,,,
s2132,,,,,,,,,
s2133,,,,,,,,,
s2134,,,,,,,,,
s2135,,,,,,,,,
s2136,,,,,,,,,
s2137,,,,,,,,,
s2138,,,,,,,,,
s2139,,,,,,,,,
s2140,,,,,,,,,
s2141,,,,,,,,,
s2142,,,,,,,,,
s2143,,,,,,,,,
s2144,,,,,,,,,
s2145,,,,,,,,,
s2146,,,,,,,,,
s2147,70,70,,,,,,70,2.1881
s2148,,,,,,,,,
s2149,,,,,,,,,
s2150,,,,,,,,,
s2151,,,,,,,,,
s2152,,,,,,,,,
s2153,29,29,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,29,2.8333
s2154,,,,,,,,,
s2155,,,,,,,,,
s2156,,,,,,,,,
s2157,,,,,,,,,
s2158,,,,,,,,,
s2159,,,,,,,,,
s2160,,,,,,,,,
s2161,,,,,,,,,
s2162,,,,,,,,,
s2163,,,,,,,,,
s2164,,,,,,,,,
s2165,,,,,,,,,
s2166,,,,,,,,,
s2167,,,,,,,,,
s2168,,,,,,,,,
s2169,,,,,,,,,
s2170,,,,,,,,,
s2171,,,,,,,,,
s2172,,,,,,,,,
s2173,,,,,,,,,
s2174,,,,,,,,,
s2175,,,,,,,,,
s2176,,,,,,,,,
s2177,,,,,,,,,
s2178,37,37,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,37,2.6892
s2179,,,,,,,,,
s2180,36,36,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,36,2.2500
s2181,,,,,,,,,
s2182,,,,,,,,,
s2183,,,,,,,,,
s2184,,,,,,,,,
s2185,,,,,,,,,
s2186,106,106,,,,,,106,2.1997
s2187,,,,,,,,,
s2188,,,,,,,,,
s2189,,,,,,,,,
s2190,,,,,,,,,
s2191,60,60,GOVERNMENT,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,60,2.2444
s2192,,,,,,,,,
s2193,,,,,,,,,
s2194,,,,,,,,,
s2195,,,,,,,,,
s2196,,,,,,,,,
s2197,,,,,,,,,
s2198,,,,,,,,,
s2199,,,,,,,,,
s2200,,,,,,,,,
s2201,,,,,,,,,
s2202,,,,,,,,,
s2203,,,,,,,,,
s2204,,,,,,,,,
s2205,,,,,,,,,
s2206,,,,,,,,,
s2207,,,,,,,,,
s2208,,,,,,,,,
s2209,,,,,,,,,
s2210,,,,,,,,,
s2211,70,70,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,70,2.3690
s2212,,,,,,,,,
s2213,156,156,,,,,,156,2.7788
s2214,183,183,,,,,,183,2.6803
s2215,,,,,,,,,
s2216,,,,,,,,,
s2217,,,,,,,,,
s2218,,,,,,,,,
s2219,,,,,,,,,
s2220,,,,,,,,,
s2221,,,,,,,,,
s2222,,,,,,,,,
s2223,,,,,,,,,
s2224,,,,,,,,,
s2225,,,,,,,,,
s2226,,,,,,,,,
s2227,,,,,,,,,
s2228,,,,,,,,,
s2229,,,,,,,,,
s2230,,,,,,,,,
s2231,,,,,,,,,
s2232,,,,,,,,,
s2233,,,,,,,,,
s2234,,,,,,,,,
s2235,,,,,,,,,
s2236,,,,,,,,,
s2237,,,,,,,,,
s2238,,,,,,,,,
s2239,,,,,,,,,
s2240,,,,,,,,,
s2241,34,34,,,,,,34,2.3971
s2242,,,,,,,,,
s2243,,,,,,,,,
s2244,,,,,,,,,
s2245,,,,,,,,,
s2246,,,,,,,,,
s2247,,,,,,,,,
s2248,,,,,,,,,
s2249,,,,,,,,,
s2250,,,,,,,,,
s2251,,,,,,,,,
s2252,,,,,,,,,
s2253,,,,,,,,,
s2254,,,,,,,,,
s2255,,,,,,,,,
s2256,,,,,,,,,
s2257,,,,,,,,,
s2258,,,,,,,,,
s2259,,,,,,,,,
s2260,,,,,,,,,
s2261,,,,,,,,,
s2262,,,,,,,,,
s2263,,,,,,,,,
s2264,,,,,,,,,
s2265,,,,,,,,,
s2266,,,,,,,,,
s2267,,,,,,,,,
s2268,,,,,,,,,
s2269,,,,,,,,,
s2270,,,,,,,,,
s2271,,,,,,,,,
s2272,,,,,,,,,
s2273,,,,,,,,,
s2274,,,,,,,,,
s2275,,,,,,,,,
s2276,,,,,,,,,
s2277,,,,,,,,,
s2278,90,89,,,,,,89,2.8596
s2279,,,,,,,,,
s2280,,,,,,,,,
s2281,,,,,,,,,
s2282,,,,,,,,,
s2283,,,,,,,,,
s2284,,,,,,,,,
s2285,,,,,,,,,
s2286,,,,,,,,,
s2287,,,,,,,,,
s2288,,,,,,,,,
s2289,,,,,,,,,
s2290,,,,,,,,,
s2291,,,,,,,,,
s2292,,,,,,,,,
s2293,,,,,,,,,
s2294,,,,,,,,,
s2295,,,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,,
s2296,,,,,,,,,
s2297,,,,,,,,,
s2298,,,,,,,,,
s2299,,,,,,,,,
s2300,43,43,,,,,,43,2.4806
s2301,,,,,,,,,
s2302,,,,,,,,,
s2303,,,,,,,,,
s2304,,,,,,,,,
s2305,,,,,,,,,
s2306,,,,,,,,,
s2307,,,,,,,,,
s2308,,,,,,,,,
s2309,,,,,,,,,
s2310,,,,,,,,,
s2311,,,,,,,,,
s2312,,,,,,,,,
s2313,,,,,,,,,
s2314,,,,,,,,,
s2315,21,21,PRIVATE,GIRLS ONLY,BOARDING,SCIENCE,COMBINED OA,21,3.5794
s2316,,,,,,,,,
s2317,,,,,,,,,
s2318,53,53,,,,,,53,2.6226
s2319,,,,,,,,,
s2320,,,,,,,,,
s2321,,,,,,,,,
s2322,,,,,,,,,
s2323,,,,,,,,,
s2324,,,,,,,,,
s2325,136,136,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,136,1.7426
s2326,24,21,,,,,,14,3.1190
s2327,,,,,,,,,
s2328,,,,,,,,,
s2329,,,,,,,,,
s2330,,,,,,,,,
s2331,,,,,,,,,
s2332,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s2333,19,19,,,,,,19,2.7105
s2334,11,11,,,,,,11,2.8182
s2335,9,9,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,9,2.7407
s2336,,,,,,,,,
s2337,,,,,,,,,
s2338,,,,,,,,,
s2339,13,13,,,,,,12,3.9615
s2340,,,,,,,,,
s2341,,,,,,,,,
s2342,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s2343,,,,,,,,,
s2344,29,29,,,,,,29,2.8333
s2345,,,,,,,,,
s2346,,,,,,,,,
s2347,,,,,,,,,
s2348,31,31,PRIVATE,BOYS ONLY,DAY AND BOARDING,MIXED,COMBINED OA,31,2.6452
s2349,,,,,,,,,
s2350,,,,,,,,,
s2351,,,,,,,,,
s2352,,,,,,,,,
s2353,,,,,,,,,
s2354,9,9,PRIVATE,BOYS ONLY,BOARDING,MIXED,COMBINED OA,9,2.6296
s2355,,,,,,,,,
s2356,,,,,,,,,
s2357,111,111,,,,,,111,2.6141
s2358,,,,,,,,,
s2359,42,42,PRIVATE,BOYS AND GIRLS,BOARDING,ARTS,COMBINED OA,42,2.4960
s2360,,,,,,,,,
s2361,,,,,,,,,
s2362,,,,,,,,,
s2363,,,GOVERNMENT,BOYS AND GIRLS,BOARDING,,,,
s2364,,,,,,,,,
s2365,,,,,,,,,
s2366,,,,,,,,,
s2367,,,,,,,,,
s2368,,,,,,,,,
s2369,,,,,,,,,
s2370,,,,,,,,,
s2371,,,,,,,,,
s2372,,,,,,,,,
s2373,,,,,,,,,
s2374,,,,,,,,,
s2375,,,,,,,,,
s2376,,,,,,,,,
s2377,,,,,,,,,
s2378,60,60,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,60,2.7111
s2379,,,,,,,,,
s2380,,,,,,,,,
s2381,,,,,,,,,
s2382,,,,,,,,,
s2383,,,,,,,,,
s2384,48,48,,,,,,48,2.4653
s2385,227,224,,,,,,224,2.5052
s2386,115,114,,,,,,114,2.2105
s2387,,,,,,,,,
s2388,,,,,,,,,
s2389,,,,,,,,,
s2390,,,,,,,,,
s2391,,,,,,,,,
s2392,,,,,,,,,
s2393,,,,,,,,,
s2394,,,,,,,,,
s2395,,,,,,,,,
s2396,,,,,,,,,
s2397,,,,,,,,,
s2398,,,,,,,,,
s2399,,,,,,,,,
s2400,,,,,,,,,
s2401,,,,,,,,,
s2402,,,,,,,,,
s2403,,,,,,,,,
s2404,,,,,,,,,
s2405,,,,,,,,,
s2406,,,,,,,,,
s2407,,,,,,,,,
s2408,,,,,,,,,
s2409,,,,,,,,,
s2410,,,,,,,,,
s2411,,,,,,,,,
s2412,,,,,,,,,
s2413,,,,,,,,,
s2414,,,,,,,,,
s2415,,,,,,,,,
s2416,,,,,,,,,
s2417,,,,,,,,,
s2418,,,,,,,,,
