school_code,school_name,is_private_center,region,gpa,grade,passed_candidates,regist,absent,sat,withheld,no-ca,clean,div_i,div_ii,div_iii,div_iv,div_0,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO
s1159,EMBARWAY SECONDARY SCHOOL,False,ARUSHA,2.1347,,167.0,167.0,0.0,167.0,0.0,0.0,167.0,115.0,49.0,3.0,0.0,0.0,,,
s1215,ENGUSERO SECONDARY SCHOOL,False,MANYARA,2.0204,,131.0,131.0,0.0,131.0,0.0,0.0,131.0,101.0,30.0,0.0,0.0,0.0,,,
s1450,EFATHA SEMINARY,False,PWANI,2.9281,,102.0,102.0,0.0,102.0,0.0,0.0,102.0,21.0,54.0,26.0,1.0,0.0,300,20,15:1
s4861,EMBOREET SECONDARY SCHOOL,False,MANYARA,2.3954,,137.0,137.0,0.0,137.0,0.0,0.0,137.0,64.0,63.0,10.0,0.0,0.0,,,
s1549,ENGUTOTO SECONDARY SCHOOL,False,ARUSHA,2.3372,,129.0,129.0,0.0,129.0,0.0,0.0,129.0,60.0,68.0,1.0,0.0,0.0,,,
s5782,EFFORTS SECONDARY SCHOOL,False,PWANI,3.0175,,19.0,19.0,0.0,19.0,0.0,0.0,19.0,2.0,11.0,6.0,0.0,0.0,,,
s0279,EMMABERG GIRLS' SECONDARY SCHOOL,False,NJOMBE,2.3148,,9.0,9.0,0.0,9.0,0.0,0.0,9.0,6.0,2.0,1.0,0.0,0.0,,,
p5584,EXCELLENCE OPEN SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s5151,FARAJA SECONDARY SCHOOL,False,MJINI MAGHARIBI,2.7145,,115.0,116.0,1.0,115.0,0.0,0.0,115.0,30.0,71.0,14.0,0.0,0.0,,,
s0189,FEZA BOYS' SECONDARY SCHOOL,False,DAR ES SALAAM,1.6705,,86.0,86.0,0.0,86.0,0.0,0.0,86.0,78.0,8.0,0.0,0.0,0.0,500,45,11:1
s0310,FOREST HILL SECONDARY SCHOOL,False,MOROGORO,2.085,,49.0,51.0,0.0,51.0,2.0,0.0,49.0,35.0,13.0,1.0,0.0,0.0,,,
p5151,FARAJA SECONDARY SCHOOL CENTRE,True,,,,,,,,,,,,,,,,,,
s0298,FEZA GIRLS' SECONDARY SCHOOL,False,DAR ES SALAAM,1.7706,,77.0,77.0,0.0,77.0,0.0,0.0,77.0,67.0,10.0,0.0,0.0,0.0,325,30,11:1
s2327,FOUNTAIN GATE DODOMA SECONDARY SCHOOL,False,DODOMA,2.6154,,26.0,26.0,0.0,26.0,0.0,0.0,26.0,10.0,11.0,5.0,0.0,0.0,,,
s4797,FARAJA SIHA SEMINARY,False,KILIMANJARO,3.027,,37.0,37.0,0.0,37.0,0.0,0.0,37.0,5.0,22.0,9.0,1.0,0.0,,,
