school_code,prev_sat,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,prev_gpa,gpa,sat,STUDENTS,TEACHERS,STUDENT-TEACHER RATIO,student_teacher_ratio
s5377,12.0,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,2.6806,3.1667,5.0,400.0,30.0,13:1,13.333333333333334
s5379,52.0,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,1.8173,1.9483,29.0,210.0,20.0,11:1,10.5
s5394,166.0,,,,,,2.3494,2.2356,133.0,,,,
s5397,19.0,,,,,,2.6754,2.7407,18.0,,,,
s5407,8.0,,,,,,2.5833,2.9111,15.0,,,,
s5493,42.0,,,,,,2.4722,2.0818,53.0,,,,
s5555,35.0,,,,,,1.4286,1.3646,32.0,,,,
s5567,116.0,,,,,,2.8175,2.4985,110.0,,,,
s5572,55.0,,,,,,2.703,2.9562,80.0,,,,
s5579,30.0,,,,,,3.1333,3.4389,30.0,,,,
s5595,102.0,,,,,,2.5196,2.5991,111.0,,,,
s5596,11.0,,,,,,2.803,2.6806,12.0,,,,
s5663,7.0,,,,,,3.1389,2.0,1.0,,,,
s5682,39.0,,,,,,2.859,2.9898,49.0,,,,
s5708,5.0,,,,,,2.8,2.1078,17.0,,,,
s5782,20.0,,,,,,2.4917,3.0175,19.0,,,,
s5792,206.0,,,,,,2.4094,2.6314,118.0,,,,
s5816,124.0,,,,,,2.5806,2.4667,110.0,,,,
s5857,13.0,,,,,,3.6795,3.5952,14.0,,,,
s5889,4.0,,,,,,2.0417,2.4506,28.0,,,,
s5896,146.0,,,,,,2.8379,2.3974,104.0,,,,
s5931,69.0,,,,,,3.5169,3.4567,181.0,,,,
s5933,68.0,,,,,,2.9559,2.4217,66.0,,,,
s5934,53.0,,,,,,2.6474,2.6019,37.0,,,,
s5935,33.0,,,,,,3.1667,3.2167,20.0,,,,
s5936,34.0,,,,,,2.9706,2.575,20.0,,,,
s5953,121.0,,,,,,2.584,2.733,93.0,,,,
s6010,63.0,,,,,,2.4444,2.6429,77.0,,,,
s6056,173.0,,,,,,2.684,2.5483,145.0,,,,
s6062,67.0,,,,,,3.209,3.1641,65.0,,,,
s6064,146.0,,,,,,2.8938,3.2005,217.0,,,,
s6136,15.0,,,,,,3.4778,2.4889,15.0,,,,
s6209,56.0,,,,,,2.8244,2.3827,54.0,,,,
s6247,114.0,,,,,,2.348,2.2991,39.0,,,,
s6249,48.0,,,,,,2.5069,1.9432,88.0,,,,
